classifieur,time,f1_score,Precision,Recall
vect-sgd,3.70,"[0.368, 0.0]",0.368,0.368
vect-tfidf-sgd,2.44,"[0.345, 0.0]",0.345,0.345
vect-tfidf-svml,4.96,"[0.365, 0.0]",0.365,0.365
vect-tfidf-logit,25.74,"[0.442, 0.0]",0.442,0.442
vect-compl_nb,1.09,"[0.328, 0.0]",0.328,0.328
